"city","country","tier","popularityScore","recommendedStayDays","airportCount","outgoingConnections"
"Kabul","Afghanistan","standard","41","2","1","20"
"Tirana","Albania","standard","42","2","1","29"
"Algier","Algeria","standard","44","2","1","62"
"Oran","Algeria","standard","42","2","1","24"
"Pago Pago","American Samoa","standard","40","2","1","1"
"Luanda","Angola","standard","42","2","1","32"
"The Valley","Anguilla","standard","40","2","1","6"
"Isla Rey Jorge","Antarctica","standard","40","2","1","0"
"Antigua","Antigua and Barbuda","standard","42","2","1","31"
"Buenos Aires","Argentina","standard","47","2","2","100"
"Cordoba","Argentina","standard","41","2","1","12"
"Iguazu Falls","Argentina","standard","40","2","1","4"
"Jujuy","Argentina","standard","40","2","1","2"
"Mar Del Plata","Argentina","standard","40","2","1","2"
"Mendoza","Argentina","standard","40","2","1","7"
"Resistencia","Argentina","standard","40","2","1","1"
"Rio Grande","Argentina","standard","40","2","1","1"
"Rio Hondo","Argentina","standard","40","2","1","1"
"Rosario","Argentina","standard","40","2","1","7"
"Salta","Argentina","standard","40","2","1","6"
"Yerevan","Armenia","standard","43","2","1","39"
"Oranjestad","Aruba","standard","43","2","1","41"
"Adelaide","Australia","standard","43","2","1","38"
"Avalon","Australia","standard","40","2","1","1"
"Brisbane","Australia","standard","47","2","1","106"
"Broome","Australia","standard","40","2","1","7"
"Cairns","Australia","standard","43","2","1","38"
"Canberra","Australia","standard","41","2","1","13"
"Coolangatta","Australia","standard","42","2","1","25"
"Darwin","Australia","standard","42","2","1","33"
"Hobart","Australia","standard","41","2","1","9"
"Maroochydore","Australia","standard","40","2","1","5"
"Melbourne","Australia","standard","47","2","1","112"
"Perth","Australia","standard","44","2","1","58"
"Sydney","Australia","standard","51","2","1","159"
"Townsville","Australia","standard","41","2","1","10"
"Innsbruck","Austria","standard","41","2","1","8"
"Salzburg","Austria","standard","42","2","1","29"
"Vienna","Austria","standard","58","2","1","270"
"Baku","Azerbaijan","standard","44","2","1","58"
"Lankaran","Azerbaijan","standard","40","2","1","2"
"Qabala","Azerbaijan","standard","40","2","1","1"
"Zaqatala","Azerbaijan","standard","40","2","1","0"
"Freeport","Bahamas","standard","41","2","1","15"
"Nassau","Bahamas","standard","43","2","1","42"
"Bahrain","Bahrain","standard","46","2","1","84"
"Chittagong","Bangladesh","standard","41","2","1","16"
"Dhaka","Bangladesh","standard","44","2","1","66"
"Sylhet Osmani","Bangladesh","standard","40","2","1","4"
"Bridgetown","Barbados","standard","41","2","1","21"
"Minsk 2","Belarus","standard","43","2","1","50"
"Brussels","Belgium","standard","59","2","1","282"
"Charleroi","Belgium","standard","43","2","1","52"
"Ostend","Belgium","standard","40","2","1","0"
"Belize City","Belize","standard","41","2","1","17"
"Cotonou","Benin","standard","42","2","1","36"
"Bermuda","Bermuda","standard","41","2","1","15"
"Thimphu","Bhutan","standard","40","2","1","5"
"Cochabamba","Bolivia","standard","40","2","1","4"
"La Paz","Bolivia","standard","41","2","1","13"
"Santa Cruz","Bolivia","standard","41","2","1","19"
"Banja Luka","Bosnia and Herzegovina","standard","40","2","1","3"
"Mostar","Bosnia and Herzegovina","standard","40","2","1","1"
"Null","Bosnia and Herzegovina","standard","40","2","1","0"
"Sarajevo","Bosnia and Herzegovina","standard","41","2","1","15"
"Gaberone","Botswana","standard","40","2","1","6"
"Belem","Brazil","standard","41","2","1","18"
"Belo Horizonte","Brazil","standard","42","2","1","33"
"Brasilia","Brazil","standard","44","2","1","54"
"Campinas","Brazil","standard","41","2","1","22"
"Corumba","Brazil","standard","40","2","1","0"
"Curitiba","Brazil","standard","42","2","1","28"
"Florianopolis","Brazil","standard","41","2","1","17"
"Fortaleza","Brazil","standard","42","2","1","30"
"Foz Do Iguacu","Brazil","standard","41","2","1","12"
"Joao Pessoa","Brazil","standard","41","2","1","11"
"Manaus","Brazil","standard","41","2","1","18"
"Natal","Brazil","standard","41","2","1","15"
"Navegantes","Brazil","standard","40","2","1","7"
"Pelotas","Brazil","standard","40","2","1","3"
"Porto Alegre","Brazil","standard","42","2","1","31"
"Recife","Brazil","standard","42","2","1","27"
"Rio De Janeiro","Brazil","standard","46","2","1","91"
"Salvador","Brazil","standard","42","2","1","35"
"Sao Luis","Brazil","standard","41","2","1","13"
"Sao Paulo","Brazil","standard","52","2","2","173"
"Vitoria","Brazil","standard","41","2","1","12"
"Diego Garcia Island","British Indian Ocean Territory","standard","40","2","1","0"
"Tortola","British Virgin Islands","standard","41","2","1","10"
"Bandar Seri Begawan","Brunei","standard","41","2","1","21"
"Sofia","Bulgaria","standard","44","2","1","57"
"Varna","Bulgaria","standard","40","2","1","7"
"Ouagadougou","Burkina Faso","standard","42","2","1","32"
"Mandalay","Burma","standard","40","2","1","7"
"Naypyidaw","Burma","standard","40","2","1","2"
"Yangon","Burma","standard","42","2","1","36"
"Bujumbura","Burundi","standard","41","2","1","13"
"Phnom-penh","Cambodia","standard","42","2","1","29"
"Siem-reap","Cambodia","standard","43","2","1","41"
"Douala","Cameroon","standard","43","2","1","44"
"Garoua","Cameroon","standard","40","2","1","2"
"Yaounde","Cameroon","standard","41","2","2","17"
"Calgary","Canada","standard","46","2","1","95"
"Edmonton","Canada","standard","44","2","1","59"
"Fort Mcmurray","Canada","standard","41","2","1","10"
"Halifax","Canada","standard","42","2","1","32"
"Hamilton","Canada","standard","40","2","1","4"
"Kelowna","Canada","standard","41","2","1","12"
"Moncton","Canada","standard","41","2","1","10"
"Montreal","Canada","standard","50","2","2","147"
"Ottawa","Canada","standard","42","2","1","37"
"Quebec","Canada","standard","41","2","1","14"
"Regina","Canada","standard","41","2","1","16"
"Saskatoon","Canada","standard","41","2","1","15"
"St. John's","Canada","standard","41","2","1","14"
"Toronto","Canada","standard","59","2","1","286"
"Vancouver","Canada","standard","48","2","1","123"
"Victoria","Canada","standard","41","2","1","13"
"Whitehorse","Canada","standard","40","2","1","5"
"Winnipeg","Canada","standard","42","2","1","24"
"Yellowknife","Canada","standard","41","2","1","10"
"Amilcar Cabral","Cape Verde","standard","41","2","1","15"
"Georgetown","Cayman Islands","standard","42","2","1","23"
"Bangui","Central African Republic","standard","40","2","1","3"
"N'djamena","Chad","standard","41","2","1","8"
"Antofagasta","Chile","standard","40","2","1","4"
"Santiago","Chile","standard","44","2","1","58"
"Beijing","China","tourist","64","2","2","360"
"Changcha","China","standard","50","2","1","154"
"Chengdu","China","standard","55","2","1","222"
"Chongqing","China","standard","53","2","1","193"
"Dalian","China","standard","48","2","1","113"
"Erenhot","China","standard","40","2","1","2"
"Fuzhou","China","standard","48","2","1","120"
"Guangzhou","China","standard","57","2","1","252"
"Guilin","China","standard","47","2","1","99"
"Guiyang","China","standard","48","2","1","117"
"Haikou","China","standard","46","2","1","97"
"Hangzhou","China","standard","54","2","1","212"
"Harbin","China","standard","46","2","1","87"
"Hefei","China","standard","45","2","1","70"
"Hohhot","China","standard","44","2","1","59"
"Huangshan","China","standard","42","2","1","24"
"Jinan","China","standard","48","2","1","119"
"Kunming","China","standard","53","2","1","195"
"Lanzhou","China","standard","44","2","1","66"
"Mudanjiang","China","standard","41","2","1","10"
"Nanchang","China","standard","45","2","1","76"
"Nanjing","China","standard","49","2","1","139"
"Nanning","China","standard","47","2","1","108"
"Ninbo","China","standard","45","2","1","76"
"Qingdao","China","standard","51","2","1","159"
"Quanzhou","China","standard","43","2","1","39"
"Sanya","China","standard","46","2","1","97"
"Shanghai","China","tourist","72","2","2","483"
"Shantou","China","standard","42","2","1","31"
"Shenyang","China","standard","47","2","1","106"
"Shenzhen","China","standard","51","2","1","171"
"Shijiazhuang","China","standard","44","2","1","65"
"Tianjin","China","standard","48","2","1","124"
"Urumqi","China","standard","46","2","1","91"
"Wenzhou","China","standard","45","2","1","74"
"Wuhan","China","standard","50","2","1","150"
"Wuxi","China","standard","43","2","1","47"
"Xiamen","China","standard","53","2","1","189"
"Xi'an","China","standard","54","2","1","204"
