id,ident,name,lat,lon,country,municipality
1,GKA,Goroka Airport,-6.081689834590001,145.391998291,Papua New Guinea,Goroka
2,MAG,Madang Airport,-5.20707988739,145.789001465,Papua New Guinea,Madang
3,HGU,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,Papua New Guinea,Mount Hagen
4,LAE,Nadzab Airport,-6.569803,146.725977,Papua New Guinea,Nadzab
5,POM,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,Papua New Guinea,Port Moresby
6,WWK,Wewak International Airport,-3.58383011818,143.669006348,Papua New Guinea,Wewak
7,UAK,Narsarsuaq Airport,61.1604995728,-45.4259986877,Greenland,Narssarssuaq
8,GOH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,Greenland,Godthaab
9,SFJ,Kangerlussuaq Airport,67.0122218992,-50.7116031647,Greenland,Sondrestrom
10,THU,Thule Air Base,76.5311965942,-68.7032012939,Greenland,Thule
11,AEY,Akureyri Airport,65.66000366210938,-18.07270050048828,Iceland,Akureyri
12,EGS,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,Iceland,Egilsstadir
13,HFN,Hornafjörður Airport,64.295601,-15.2272,Iceland,Hofn
14,HZK,Húsavík Airport,65.952301,-17.426001,Iceland,Husavik
15,IFJ,Ísafjörður Airport,66.05809783935547,-23.135299682617188,Iceland,Isafjordur
16,KEF,Keflavik International Airport,63.985000610352,-22.605600357056,Iceland,Keflavik
17,PFJ,Patreksfjörður Airport,65.555801,-23.965,Iceland,Patreksfjordur
18,RKV,Reykjavik Airport,64.1299972534,-21.9405994415,Iceland,Reykjavik
19,SIJ,Siglufjörður Airport,66.133301,-18.9167,Iceland,Siglufjordur
20,VEY,Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375,Iceland,Vestmannaeyjar
21,YAM,Sault Ste Marie Airport,46.48500061035156,-84.5093994140625,Canada,Sault Sainte Marie
22,\N,Winnipeg / St. Andrews Airport,50.0564002991,-97.03250122070001,Canada,Winnipeg
23,\N,Halifax / CFB Shearwater Heliport,44.639702,-63.499401,Canada,Halifax
